"code","display_name","brands","countries","categories","ingredients_text","nova_group","nutriscore_grade","ecoscore_grade","energy_kcal_100g","sugars_100g","salt_100g","game_ready","review_status","review_notes","source_dataset","selection_rationale"
"0030000010402","Old Fashioned Oats","Quaker Oats","United States,World","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Seeds,Cereals and their products,Breakfast cereals,Cereal grains,Flakes,Cereal flakes,Rolled flakes,Rolled oats","whole grain rolled oats,","1","a","b","375.0","2.5","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"8997212610412","Organic Coconut Milk","Kara","France,Singapore","Plant-based foods and beverages, Beverages, Plant-based foods, Dairy substitutes, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Plant-based creams, Plant-based creams for cooking, Coconut milks and creams","organic coconut milk","1","e","a-plus","178.0","1.8","0.04","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5059319013503","Plain Wheats","Kellogg's","United Kingdom","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Extruded cereals","Wholewheat(100%).","1","a","e","397.0","0.9","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"00282123","Authentic Greek Yoghurt","Taste The Difference","United Kingdom","Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Plain yogurts, Greek-style yogurts, Plain greek-style yogurts","Natural Greek Yogurt (Cows' _Milk_)","1","c","b","137.0","3.2","0.107","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5000169647561","Chickpeas in water","Essential Waitrose,Waitrose","United Kingdom","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Canned foods, Legumes, Seeds, Canned plant-based foods, Legume seeds, Pulses, Chickpeas, Canned legumes, Canned chickpeas","Chickpeas, water, antioxidant (ascorbic acid)","1","a","a","118.0","0.6","0.04","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"4056489825623","Scottish Porridge Oats","Crownfield","en:United Kingdom","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Scottish porridge oats, en:porridge","wholegrain rolled oats","1","a","e","386.0","0.8","7.5e-05","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5060132284308","Peanut Butter","Meridian","Spain, United Kingdom, en:ireland","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Plant-based spreads, Oilseed purees, Legume butters, Peanut butters, en:nut-butters","Roasted Peanuts","1","unknown","c","596.0","5.9","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5057753910822","Organic chickpeas in water","Tesco","United Kingdom","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Canned foods, Legumes, Seeds, Canned plant-based foods, Legume seeds, Pulses, Chickpeas, Canned legumes, Canned chickpeas","Organic Chickpeas, Water.","1","a","a","115.0","0.4","0.1","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5036589255598","Organic Natural Yoghurt","Yeo Valley","United Kingdom","Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Plain fermented dairy desserts,Plain yogurts","Organic Milk, bifidobacterium live culture","1","b","a","72.0","4.9","0.117","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"4056489462828","Simply porridge oats","Lidl","en:gb","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Rolled flakes, Porridge, Rolled oats","wholegrain rolled oats","1","a","a","368.0","1.0","0.025","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
